$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12481, thi_cuoiky-O112-23520802-ZP7FN, 2024-01-11 01:02:47, 2024-01-11 01:02:47, 17004, 1067, 0
12482, thi_cuoiky-O112-23521445-NU5MA, 2024-01-11 01:02:49, 2024-01-11 01:02:49, 6081, 1069, 0
12483, thi_cuoiky-O112-23521220-XNYTN, 2024-01-11 01:02:56, 2024-01-11 01:02:56, 21989, 1076, 0
12484, thi_cuoiky-O11-23520618-ELW21, 2024-01-11 01:02:57, 2024-01-11 01:02:57, 22555, 1077, 0
12485, thi_cuoiky-O11-23521013-47MX5, 2024-01-11 01:02:58, 2024-01-11 01:02:58, 18773, 1078, 0
12486, thi_cuoiky-O11-23520513-15VRI, 2024-01-11 01:03:02, 2024-01-11 01:03:02, 19568, 1082, 0
12487, thi_cuoiky-O112-23521063-9N30C, 2024-01-11 01:03:02, 2024-01-11 01:03:03, 8483, 1082, 1
12488, thi_cuoiky-O112-23521553-QJ4WN, 2024-01-11 01:03:08, 2024-01-11 01:03:08, 7954, 1088, 0
12489, thi_cuoiky-O112-23520652-85UAD, 2024-01-11 01:03:09, 2024-01-11 01:03:09, 18459, 1089, 0
12490, thi_cuoiky-O11-23520270-QCPJK, 2024-01-11 01:03:10, 2024-01-11 01:03:10, 42794, 1090, 0
12491, thi_cuoiky-O11-23520329-OEAU3, 2024-01-11 01:03:11, 2024-01-11 01:03:11, 9899, 1091, 0
12492, thi_cuoiky-O110-23520305-S2JUI, 2024-01-11 01:03:19, 2024-01-11 01:03:19, 20779, 1099, 0
12493, thi_cuoiky-O112-23521805-N1C7L, 2024-01-11 01:03:26, 2024-01-11 01:03:26, 9757, 1106, 0
12494, thi_cuoiky-O11-23521013-47MX5, 2024-01-11 01:03:27, 2024-01-11 01:03:28, 20001, 1107, 1
12495, thi_cuoiky-O110-23520292-L34ZJ, 2024-01-11 01:03:31, 2024-01-11 01:03:31, 7555, 1111, 0
